index,quote
0,Be yourself; everyone else is already taken.
1,You've gotta dance like there's nobody watching
2,Be the change that you wish to see in the world.
3,No one can make you feel inferior without your consent.
4,Live as if you were to die tomorrow. Learn as if you were to live forever.
5,Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.
6,"Without music, life would be a mistake."
7,We accept the love we think we deserve.
8,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring."
9,There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.
10,"We are all in the gutter, but some of us are looking at the stars."
11,"Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten."
12,"Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present."
13,"I have not failed. I've just found 10,000 ways that won't work."
14,It is never too late to be what you might have been.
15,There is no greater agony than bearing an untold story inside you.
16,Everything you can imagine is real.
17,You can never get a cup of tea large enough or a book long enough to suit me.
18,"To the well-organized mind, death is but the next great adventure."
19,Life isn't about finding yourself. Life is about creating yourself.
20,"Do what you can, with what you have, where you are."
21,"Success is not final, failure is not fatal: it is the courage to continue that counts."
22,"So, this is my life. And I want you to know that I am both happy and sad and I'm still trying to figure out how that could be."
23,"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one."
24,"And, when you want something, all the universe conspires in helping you to achieve it."
25,"What you're supposed to do when you don't like a thing is change it. If you can't change it, change the way you think about it. Don't complain."
26,It's the possibility of having a dream come true that makes life interesting.
27,"A person's a person, no matter how small."
28,"You can't live your life for other people. You've got to do what's right for you, even if it hurts some people you love."
29,Well-behaved women seldom make history.
30,"So we beat on, boats against the current, borne back ceaselessly into the past."
31,"Nothing is impossible, the word itself says 'I'm possible'!"
32,Happiness is not something ready made. It comes from your own actions.
33,Peace begins with a smile..
34,"Never doubt that a small group of thoughtful, committed, citizens can change the world. Indeed, it is the only thing that ever has."
35,What lies behind us and what lies before us are tiny matters compared to what lies within us.
36,"For attractive lips, speak words of kindness"
37,Promise Yourself
38,"Whatever you are, be a good one."
39,"I hope she'll be a fool -- that's the best thing a girl can be in this world, a beautiful little fool."
40,"Two wrongs don't make a right, but they make a good excuse."
41,May you live every day of your life.
42,Who controls the past controls the future. Who controls the present controls the past.
43,Isn't it nice to think that tomorrow is a new day with no mistakes in it yet?
44,"If my life is going to mean anything, I have to live it myself."
45,Hope is the thing with feather
46,Always do what you are afraid to do.
47,Pain is inevitable. Suffering is optional.
48,Our lives begin to end the day we become silent about things that matter.
49,If you're reading this..
50,"In the end, we will remember not the words of our enemies, but the silence of our friends."
51,Talent hits a target no one else can hit. Genius hits a target no one else can see.
